osm_id,name,operator,telecom,building,addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,source_layer,lat,lon,geometry
,,,,data_center,,,,,,polygons,38.7912098,-77.53826854781123,"MULTIPOLYGON (((-77.5394144 38.7913624, -77.5371774 38.7915129, -77.5371184 38.7910572, -77.5393661 38.7908857, -77.5394144 38.7913624)))"
,CyrusOne,,,yes,,,,,,polygons,39.10273685,-84.51789008960614,"MULTIPOLYGON (((-84.5182292 39.102892, -84.518206 39.1028036, -84.5181821 39.1028074, -84.5180973 39.1024849, -84.5181216 39.102481, -84.5180985 39.1023934, -84.5175453 39.1024813, -84.5175999 39.1026701, -84.5176589 39.1029055, -84.5175434 39.1029229, -84.5175628 39.1030005, -84.5176588 39.1029855, -84.5176626 39.1029999, -84.5177628 39.1029841, -84.5177533 39.1029482, -84.5180329 39.102904, -84.5180377 39.1029223, -84.5182292 39.102892)))"
,,,,data_center,,,,,,polygons,39.021675849999994,-77.43279770706803,"MULTIPOLYGON (((-77.4332131 39.0222458, -77.4323629 39.0222369, -77.4323823 39.0211083, -77.4332231 39.021117, -77.4332208 39.0212532, -77.4335731 39.0212568, -77.4335659 39.0216776, -77.4332229 39.0216741, -77.4332131 39.0222458)))"
,,,,data_center,,,,,,polygons,39.02157365,-77.43479150003337,"MULTIPOLYGON (((-77.435002 39.0219858, -77.4345799 39.0219854, -77.434581 39.0211616, -77.4350031 39.0211619, -77.435002 39.0219858)))"
,,,,data_center,,,,,,polygons,39.0238739,-77.41487266052007,"MULTIPOLYGON (((-77.415959 39.0243739, -77.4142909 39.0238905, -77.4145183 39.0233834, -77.4149543 39.0234972, -77.4148453 39.0237104, -77.4156652 39.0239332, -77.4157742 39.0237341, -77.4162054 39.0238573, -77.415959 39.0243739)))"
,,,,data_center,,,,,,polygons,39.02330535,-77.41323750040996,"MULTIPOLYGON (((-77.4139498 39.0238108, -77.412273 39.0233207, -77.412523 39.0228045, -77.4129476 39.0229286, -77.4128961 39.023035, -77.4137221 39.0232764, -77.4137758 39.0231654, -77.414202 39.02329, -77.4139498 39.0238108)))"
,,,,data_center,,,,,,polygons,39.0250092,-77.41244596009363,"MULTIPOLYGON (((-77.4128557 39.0255518, -77.4132578 39.024676, -77.4115061 39.0241692, -77.4111812 39.0248412, -77.412393 39.0251772, -77.4122938 39.0253921, -77.4128557 39.0255518)))"
,,,,yes,,,,,,polygons,39.00465535,-77.4416634069238,"MULTIPOLYGON (((-77.4419426 39.0055301, -77.4407043 39.0045274, -77.4411525 39.0041931, -77.4411342 39.0041783, -77.4411791 39.0041448, -77.4411996 39.0041614, -77.4416267 39.0038429, -77.4424507 39.0045101, -77.4423645 39.0045744, -77.4425645 39.0047363, -77.4425435 39.0047519, -77.4426491 39.0048374, -77.442543 39.0049165, -77.442771 39.0051011, -77.4426596 39.0051842, -77.4426359 39.005165, -77.44253 39.005244, -77.4424675 39.0051934, -77.4424238 39.0052261, -77.4423885 39.0051975, -77.4419426 39.0055301)))"
,DFT VA3,,,data_center,,,,,,polygons,38.948406250000005,-77.32732208603068,"MULTIPOLYGON (((-77.3277995 38.9487272, -77.3277365 38.9486144, -77.3279824 38.9485314, -77.3278256 38.9482503, -77.3277327 38.9482811, -77.3276207 38.9480728, -77.3275819 38.9480855, -77.3275154 38.947962, -77.3274507 38.9479146, -77.3273036 38.9479642, -77.3272558 38.9478786, -77.3269167 38.9479931, -77.3269698 38.9480882, -77.32662 38.9482063, -77.327105 38.9490754, -77.3275318 38.9489313, -77.3274784 38.9488356, -77.3277995 38.9487272)))"
,Rogers Calgary Data Centre 2,,,yes,,,,,,polygons,51.0438235,-114.09215929913671,"MULTIPOLYGON (((-114.0917097 51.0439829, -114.0922549 51.0439992, -114.0922537 51.0440348, -114.0924345 51.044041, -114.0924349 51.0440032, -114.092504 51.044007, -114.0925075 51.0439177, -114.0925933 51.0439177, -114.0926054 51.0437293, -114.0917267 51.0436991, -114.0917097 51.0439829)))"
