HUC8,WSF_1MW_DC,WF_1MW_DC,CF_1MW_DC,WF_norm,CF_norm,WSF_norm,Risk_score_equal_weights
10180013,184.912974282499,3.8262122462735015,1.0002974419829178,0.01945046564663117,1.0,0.6062632136986532,0.5419045597817614
14080202,184.912974282499,3.8262122462735015,1.0002974419829178,0.01945046564663117,1.0,0.6062632136986532,0.5419045597817614
14070003,127.3933166685101,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.41730569198276685,0.537364093772461
14060007,225.846563884707,4.094840411263438,0.841531724171256,0.022029140661780133,0.841281491736162,0.7407339314848331,0.5346815212942584
10190009,177.98863477059052,3.8262122462735015,1.0002974419829178,0.01945046564663117,1.0,0.5835161027462505,0.5343221894642939
15020011,203.2487101111125,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.6664978420801924,0.5334535112800477
16020303,226.2672461780817,4.741513019961977,0.7912870393038901,0.02823682368375437,0.7910517473035815,0.7421159126523724,0.5204681612132361
14080204,190.20964832541057,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.6236632894640908,0.5191753270746805
14040200,188.38381225740827,3.97885570231143,0.9100814816869359,0.02091575453890254,0.9098108657389503,0.6176652450949031,0.5161306217909186
16020306,246.3246550114726,5.185446886570566,0.6899140274044178,0.0324983320413941,0.6897088790278038,0.8080063998773543,0.5100712036488507
14070005,176.16957309740104,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.5775403129054807,0.5038010015551437
13020205,184.2477462839829,22.73011188074544,0.6991544518811159,0.2009169685284959,0.6989465558315958,0.6040778767340422,0.5013138003647113
15010014,171.49894510141516,22.8664003496377,0.7371126532719154,0.20222525900354174,0.736893470216935,0.5621968576835968,0.5004385289680245
14070007,87.12230322393566,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.28501159961279987,0.4932660629824719
10080004,156.25531734525737,3.97885570231143,0.9100814816869359,0.02091575453890254,0.9098108657389503,0.512120097107356,0.4809489057950696
15070102,126.11447531313864,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.4131045770387167,0.47686513806487213
15020013,151.01481292104998,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.4949045438579823,0.47625574520597763
15010006,143.05809297171268,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.4687659654140022,0.4675428857246509
15050304,115.93852304713535,52.63442462082763,0.5296672607677665,0.48798107482181613,0.5295097623340835,0.3796756102985617,0.46572214915148713
15010015,199.52020237229178,39.04670701063572,0.3488493017434048,0.35754684460766845,0.34874557016947977,0.6542493411111128,0.4535139186294203
15040006,44.803863717204145,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.1459915187608077,0.44692603603180786
15050201,38.816167284572515,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.12632136901322014,0.44036931944927865
11020012,91.00126103303286,3.8262122462735015,1.0002974419829178,0.01945046564663117,1.0,0.29775434330863915,0.43906826965175677
15050202,36.26786079575924,105.97294285314153,0.1948445270439935,1.0,0.194786589334616,0.11794994090197977,0.43757884341219855
14040104,114.83158996850392,3.97885570231143,0.9100814816869359,0.02091575453890254,0.9098108657389503,0.3760392303213509,0.4355886168664012
15010009,113.80960217950174,25.77879600669572,0.703889422925586,0.23018257284427474,0.7036801189156758,0.37268190366391984,0.4355148651412901
15030103,112.12828758524658,22.8664003496377,0.7371126532719154,0.20222525900354174,0.736893470216935,0.3671586260205227,0.43542578508033314
