id,name,state,county,facility_area_sqft,lat,lon,source_layer,source_file
10938672218,K-Motion Interactive,AZ,Maricopa County,,33.63448429999997,-111.8843457,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
10945121336,West Monroe,IL,Cook County,,41.8805271,-87.6359383,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11018926315,Iron Mountain Data Centers AZS-1,AZ,Maricopa County,,33.64466630000003,-111.8960985,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11098469355,CoreSite Chicago Data Center (CH1),IL,Cook County,,41.875940500000006,-87.6314655,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11113161710,Accelera Data Systems,AZ,Maricopa County,,33.664745499999945,-112.1117142,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11167641842,Expedient Owings Mills,MD,Baltimore County,,39.427317800000004,-76.8115503,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11168593074,Lumen Baltimore,MD,Baltimore city,,39.29175920000002,-76.6204024,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11168593094,Expedient Tidepoint,MD,Baltimore city,,39.2746554,-76.5916709,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11400893880,Flexential - Denver - Centennial Data Center,CO,Arapahoe County,,39.59387330000001,-104.8431597,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11526819452,EarthClick.net LLC,OR,Lane County,,43.797155399999994,-123.05594560000002,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11666916913,EdgeConneX Data Center,AZ,Maricopa County,,33.39558550000002,-111.9700762,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11815482844,,MI,Monroe County,,41.807281700000004,-83.6276287,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11924506303,IT,CA,Riverside County,,33.910289899999995,-117.5030207,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11938614120,"Alembic Computer Services, Inc.",AZ,Maricopa County,,33.40513069999998,-111.9773353,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
11938631189,J-Curve Technologies,AZ,Maricopa County,,33.413185599999956,-111.9711539,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12112201416,Flexential Cincinnati,OH,Butler County,,39.31593130000003,-84.44946380000002,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12112236372,Flexential Denver - Downtown,CO,Denver County,,39.74597020000002,-104.9941589,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12112238944,Flexential Dallas - Downtown Dallas,TX,Dallas County,,32.800410099999986,-96.8193707,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12112266917,Flexential Jacksonville,FL,Duval County,,30.245748200000005,-81.5817226,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12112270180,Flexential - Denver - Aurora,CO,Arapahoe County,,39.66104880000002,-104.8488321,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12112295055,Flexential Nashville - Brentwood,TN,Williamson County,,35.972729399999956,-86.8084949,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12112361725,Flexential Raleigh,NC,Wake County,,35.850528100000005,-78.8291431,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
12112380995,Flexential Tampa - West,FL,Hillsborough County,,28.037299100000027,-82.5399781,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
